STUDY_ID	SAMPLE_ID	CDK1
gbm_tcga_pan_can_atlas_2018	TCGA-02-2483-01	-0.2964
gbm_tcga_pan_can_atlas_2018	TCGA-02-2485-01	-0.8557
gbm_tcga_pan_can_atlas_2018	TCGA-02-2486-01	-1.5716
gbm_tcga_pan_can_atlas_2018	TCGA-06-1804-01	-1.3971
gbm_tcga_pan_can_atlas_2018	TCGA-06-2557-01	-0.9467
gbm_tcga_pan_can_atlas_2018	TCGA-06-2558-01	-0.5241
gbm_tcga_pan_can_atlas_2018	TCGA-06-2559-01	-0.1777
gbm_tcga_pan_can_atlas_2018	TCGA-06-2561-01	-1.3633
gbm_tcga_pan_can_atlas_2018	TCGA-06-2562-01	-1.2831
gbm_tcga_pan_can_atlas_2018	TCGA-06-2563-01	-0.9682
gbm_tcga_pan_can_atlas_2018	TCGA-06-2564-01	-1.1271
gbm_tcga_pan_can_atlas_2018	TCGA-06-2565-01	-1.2962
gbm_tcga_pan_can_atlas_2018	TCGA-06-2567-01	-0.6062
gbm_tcga_pan_can_atlas_2018	TCGA-06-2569-01	-0.1505
gbm_tcga_pan_can_atlas_2018	TCGA-06-2570-01	-0.436
gbm_tcga_pan_can_atlas_2018	TCGA-06-5408-01	-1.033
gbm_tcga_pan_can_atlas_2018	TCGA-06-5410-01	-1.2961
gbm_tcga_pan_can_atlas_2018	TCGA-06-5411-01	-1.0255
gbm_tcga_pan_can_atlas_2018	TCGA-06-5412-01	-1.0061
gbm_tcga_pan_can_atlas_2018	TCGA-06-5413-01	-0.4154
gbm_tcga_pan_can_atlas_2018	TCGA-06-5414-01	-1.1105
gbm_tcga_pan_can_atlas_2018	TCGA-06-5415-01	-1.0316
gbm_tcga_pan_can_atlas_2018	TCGA-06-5416-01	1.1871
gbm_tcga_pan_can_atlas_2018	TCGA-06-5417-01	-0.351
gbm_tcga_pan_can_atlas_2018	TCGA-06-5418-01	-1.1005
gbm_tcga_pan_can_atlas_2018	TCGA-06-5856-01	-0.3386
gbm_tcga_pan_can_atlas_2018	TCGA-06-5858-01	0.5602
gbm_tcga_pan_can_atlas_2018	TCGA-06-5859-01	-0.9011
gbm_tcga_pan_can_atlas_2018	TCGA-12-1597-01	-0.631
gbm_tcga_pan_can_atlas_2018	TCGA-12-3650-01	0.2868
gbm_tcga_pan_can_atlas_2018	TCGA-12-3652-01	-0.1809
gbm_tcga_pan_can_atlas_2018	TCGA-12-3653-01	-0.497
gbm_tcga_pan_can_atlas_2018	TCGA-12-5295-01	0.0918
gbm_tcga_pan_can_atlas_2018	TCGA-12-5299-01	-0.9229
gbm_tcga_pan_can_atlas_2018	TCGA-14-1034-02	-0.5246
gbm_tcga_pan_can_atlas_2018	TCGA-14-1034-01	-1.0489
gbm_tcga_pan_can_atlas_2018	TCGA-14-1823-01	-0.8939
gbm_tcga_pan_can_atlas_2018	TCGA-14-1825-01	-0.283
gbm_tcga_pan_can_atlas_2018	TCGA-14-1829-01	-0.1945
gbm_tcga_pan_can_atlas_2018	TCGA-14-2554-01	-1.1513
gbm_tcga_pan_can_atlas_2018	TCGA-15-1444-01	-1.2945
gbm_tcga_pan_can_atlas_2018	TCGA-16-1045-01	-1.4392
gbm_tcga_pan_can_atlas_2018	TCGA-19-1390-01	0.8671
gbm_tcga_pan_can_atlas_2018	TCGA-19-1787-01	1.5585
gbm_tcga_pan_can_atlas_2018	TCGA-19-2619-01	-1.0575
gbm_tcga_pan_can_atlas_2018	TCGA-19-2620-01	-1.438
gbm_tcga_pan_can_atlas_2018	TCGA-19-2624-01	-0.0648
gbm_tcga_pan_can_atlas_2018	TCGA-19-2625-01	-1.2023
gbm_tcga_pan_can_atlas_2018	TCGA-19-2629-01	-1.2817
gbm_tcga_pan_can_atlas_2018	TCGA-19-4065-01	0.0721
gbm_tcga_pan_can_atlas_2018	TCGA-19-5960-01	-0.9154
gbm_tcga_pan_can_atlas_2018	TCGA-26-1442-01	-1.6252
gbm_tcga_pan_can_atlas_2018	TCGA-26-5132-01	-0.4266
gbm_tcga_pan_can_atlas_2018	TCGA-26-5133-01	-0.96
gbm_tcga_pan_can_atlas_2018	TCGA-26-5134-01	-0.5372
gbm_tcga_pan_can_atlas_2018	TCGA-26-5135-01	-1.0909
gbm_tcga_pan_can_atlas_2018	TCGA-26-5136-01	-0.4868
gbm_tcga_pan_can_atlas_2018	TCGA-26-5139-01	-1.2213
gbm_tcga_pan_can_atlas_2018	TCGA-27-1830-01	-1.1864
gbm_tcga_pan_can_atlas_2018	TCGA-27-1831-01	-0.0684
gbm_tcga_pan_can_atlas_2018	TCGA-27-1832-01	-0.8064
gbm_tcga_pan_can_atlas_2018	TCGA-27-1834-01	-1.4139
gbm_tcga_pan_can_atlas_2018	TCGA-27-1835-01	-1.2759
gbm_tcga_pan_can_atlas_2018	TCGA-27-1837-01	-1.006
gbm_tcga_pan_can_atlas_2018	TCGA-27-2519-01	-1.1736
gbm_tcga_pan_can_atlas_2018	TCGA-27-2521-01	-0.5204
gbm_tcga_pan_can_atlas_2018	TCGA-27-2523-01	0.1439
